预测标签,威胁类型,置信度
1,DoS攻击,0.99999964
1,DoS攻击,0.84137857
0,正常,1.0
0,正常,0.99899286
0,正常,1.0
1,DoS攻击,0.99999976
4,探测攻击,0.99996686
0,正常,0.9292962
0,正常,0.83968127
0,正常,1.0
0,正常,0.9696801
1,DoS攻击,0.99999785
3,R2L攻击,0.94244945
0,正常,0.851982
0,正常,0.90355587
0,正常,1.0
0,正常,0.9991015
4,探测攻击,1.0
1,DoS攻击,0.9999988
4,探测攻击,0.99998903
3,R2L攻击,0.98561907
1,DoS攻击,0.99999964
1,DoS攻击,0.99999976
0,正常,0.9179302
1,DoS攻击,0.9999999
0,正常,0.57096636
0,正常,1.0
1,DoS攻击,0.99999964
0,正常,1.0
0,正常,0.8698127
1,DoS攻击,0.9999999
1,DoS攻击,0.91274494
1,DoS攻击,0.9414851
0,正常,0.9992867
1,DoS攻击,0.9999999
0,正常,0.9991529
1,DoS攻击,0.99547184
1,DoS攻击,1.0
0,正常,0.91813296
0,正常,1.0
1,DoS攻击,0.9999857
4,探测攻击,1.0
1,DoS攻击,0.9999999
0,正常,0.9996928
0,正常,0.9999963
3,R2L攻击,0.996621
1,DoS攻击,0.9999988
0,正常,0.9999963
0,正常,0.99929786
0,正常,0.9988758
0,正常,0.9999733
1,DoS攻击,0.999966
0,正常,1.0
1,DoS攻击,0.9884986
0,正常,0.99999964
1,DoS攻击,1.0
0,正常,0.85201764
4,探测攻击,0.9906533
0,正常,0.99188656
0,正常,1.0
0,正常,0.9990916
1,DoS攻击,0.9999988
1,DoS攻击,0.9999999
1,DoS攻击,0.9468657
4,探测攻击,0.9999999
4,探测攻击,0.95624894
1,DoS攻击,0.99999833
0,正常,0.99987125
1,DoS攻击,0.99744
3,R2L攻击,0.99452436
1,DoS攻击,0.9999999
1,DoS攻击,0.76912934
3,R2L攻击,0.77677023
0,正常,0.9999995
1,DoS攻击,0.9999999
3,R2L攻击,0.8962745
1,DoS攻击,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
1,DoS攻击,0.99999976
1,DoS攻击,0.9999999
4,探测攻击,1.0
1,DoS攻击,0.99999857
3,R2L攻击,0.962844
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
3,R2L攻击,0.89865994
0,正常,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.9387415
0,正常,1.0
1,DoS攻击,0.99999964
1,DoS攻击,1.0
1,DoS攻击,0.94091284
0,正常,0.99958783
4,探测攻击,1.0
4,探测攻击,1.0
3,R2L攻击,0.99895716
0,正常,0.99984956
1,DoS攻击,0.678031
0,正常,0.99999344
0,正常,0.99988866
0,正常,0.9970866
0,正常,0.9999889
0,正常,0.6877276
1,DoS攻击,0.9999975
1,DoS攻击,1.0
0,正常,0.99999654
1,DoS攻击,0.9999999
0,正常,0.9989741
1,DoS攻击,0.94985735
1,DoS攻击,0.9999999
0,正常,0.9998801
0,正常,1.0
0,正常,0.9900366
3,R2L攻击,0.95222306
3,R2L攻击,0.9958229
1,DoS攻击,0.9999994
0,正常,0.8731685
4,探测攻击,0.98701155
0,正常,1.0
1,DoS攻击,0.999974
0,正常,0.99927324
0,正常,0.85817504
4,探测攻击,1.0
1,DoS攻击,0.99999976
1,DoS攻击,0.9995952
0,正常,0.9397116
0,正常,0.9990544
1,DoS攻击,0.51117176
0,正常,0.427889
0,正常,1.0
0,正常,0.9999999
0,正常,0.55715394
1,DoS攻击,0.9992393
0,正常,0.99899286
0,正常,0.9666349
0,正常,1.0
0,正常,0.8927204
0,正常,1.0
0,正常,0.9999726
1,DoS攻击,0.54065186
1,DoS攻击,0.99999905
0,正常,1.0
1,DoS攻击,0.906177
0,正常,0.99964905
1,DoS攻击,1.0
0,正常,0.9999944
0,正常,0.99972314
0,正常,0.99990845
4,探测攻击,0.99959534
0,正常,0.54504305
0,正常,0.9918452
1,DoS攻击,0.9999999
1,DoS攻击,0.9955466
0,正常,0.66033393
0,正常,0.99453163
1,DoS攻击,0.991797
4,探测攻击,0.94682735
0,正常,0.99886644
0,正常,0.9999819
1,DoS攻击,0.6741424
1,DoS攻击,0.99999964
1,DoS攻击,0.9999999
0,正常,0.7074433
3,R2L攻击,0.9668121
1,DoS攻击,0.99999976
1,DoS攻击,0.99999976
0,正常,1.0
0,正常,0.9992101
0,正常,0.9999536
3,R2L攻击,0.99062485
0,正常,0.99988365
1,DoS攻击,0.9999999
4,探测攻击,1.0
4,探测攻击,0.87349486
0,正常,0.9995402
3,R2L攻击,0.981277
0,正常,0.9172498
0,正常,0.99708647
0,正常,0.7836972
0,正常,1.0
1,DoS攻击,0.99999976
1,DoS攻击,1.0
1,DoS攻击,0.9999999
3,R2L攻击,0.99159414
0,正常,0.96801424
0,正常,0.9999918
4,探测攻击,0.9920677
1,DoS攻击,0.9999999
0,正常,0.9397117
1,DoS攻击,0.9999999
4,探测攻击,0.99997485
1,DoS攻击,0.9999999
0,正常,0.9990664
4,探测攻击,0.9938106
0,正常,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
0,正常,0.98740804
0,正常,0.97936296
3,R2L攻击,0.90243065
1,DoS攻击,0.99783844
1,DoS攻击,0.9999999
0,正常,0.9998512
3,R2L攻击,0.9754853
1,DoS攻击,0.99999905
0,正常,0.9999958
1,DoS攻击,0.97795165
0,正常,0.9839281
3,R2L攻击,0.6325865
4,探测攻击,0.98027337
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.5676019
4,探测攻击,1.0
0,正常,0.9999999
1,DoS攻击,1.0
0,正常,0.9999603
1,DoS攻击,0.99999976
0,正常,0.87056386
0,正常,0.75162345
3,R2L攻击,0.57732826
0,正常,0.7805282
0,正常,0.99957937
4,探测攻击,1.0
3,R2L攻击,0.9679565
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
4,探测攻击,1.0
0,正常,1.0
0,正常,0.53573257
0,正常,0.9975828
0,正常,0.8233806
1,DoS攻击,0.9999999
3,R2L攻击,0.97116315
0,正常,1.0
1,DoS攻击,1.0
0,正常,1.0
0,正常,1.0
0,正常,0.9996929
0,正常,0.99999976
1,DoS攻击,0.99999976
0,正常,0.9995703
3,R2L攻击,0.8799571
1,DoS攻击,0.98349804
3,R2L攻击,0.99748504
4,探测攻击,0.9999479
1,DoS攻击,0.9999999
1,DoS攻击,1.0
1,DoS攻击,0.60357827
1,DoS攻击,0.99999964
0,正常,0.99893874
1,DoS攻击,0.99999416
0,正常,0.99999917
0,正常,0.9933509
0,正常,0.998064
1,DoS攻击,0.99999976
4,探测攻击,0.9965078
4,探测攻击,0.9999999
1,DoS攻击,0.99739826
0,正常,1.0
0,正常,0.9999964
1,DoS攻击,0.9420447
4,探测攻击,0.9978892
4,探测攻击,0.9999094
4,探测攻击,1.0
1,DoS攻击,0.9803053
0,正常,0.9999881
1,DoS攻击,0.99999976
1,DoS攻击,0.9999964
3,R2L攻击,0.6318467
0,正常,0.9991529
0,正常,1.0
0,正常,0.8468581
0,正常,0.948861
0,正常,0.99999285
0,正常,0.99990845
1,DoS攻击,0.9999994
0,正常,1.0
0,正常,0.9992859
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,0.98244035
0,正常,0.99982005
1,DoS攻击,0.6492355
4,探测攻击,1.0
0,正常,0.99975497
0,正常,0.87561005
0,正常,0.99834216
1,DoS攻击,0.9999999
1,DoS攻击,0.6807033
0,正常,0.8197536
0,正常,0.9520781
1,DoS攻击,0.9999999
3,R2L攻击,0.9962919
3,R2L攻击,0.9772848
1,DoS攻击,0.9999994
0,正常,0.9992586
0,正常,0.99904317
3,R2L攻击,0.6969706
1,DoS攻击,0.9999999
1,DoS攻击,0.9999914
0,正常,0.9988864
0,正常,0.99999285
1,DoS攻击,0.9999999
0,正常,0.9999999
0,正常,0.99992466
3,R2L攻击,0.6846284
0,正常,0.96979934
0,正常,1.0
1,DoS攻击,0.9999999
4,探测攻击,1.0
0,正常,0.99846715
0,正常,1.0
1,DoS攻击,0.9980381
0,正常,0.9995067
0,正常,1.0
1,DoS攻击,0.6414915
1,DoS攻击,0.9999999
0,正常,0.99951565
0,正常,0.59697473
1,DoS攻击,1.0
0,正常,1.0
1,DoS攻击,0.9999999
0,正常,0.9993561
0,正常,0.81586367
1,DoS攻击,0.8496718
1,DoS攻击,0.9999999
0,正常,0.99863356
1,DoS攻击,0.99999976
0,正常,0.9935869
4,探测攻击,1.0
0,正常,0.9397117
0,正常,1.0
1,DoS攻击,0.92600775
1,DoS攻击,0.9999999
0,正常,0.9854865
0,正常,0.9999131
1,DoS攻击,0.99999976
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.99999917
0,正常,0.98205835
3,R2L攻击,0.83622634
4,探测攻击,0.99999964
4,探测攻击,0.99900836
1,DoS攻击,0.9999995
0,正常,0.5561808
1,DoS攻击,0.99999976
0,正常,0.99999833
3,R2L攻击,0.7451307
1,DoS攻击,0.99653494
1,DoS攻击,0.78658354
0,正常,1.0
0,正常,0.9172507
4,探测攻击,0.99999595
0,正常,0.99999154
0,正常,0.8206187
0,正常,0.9397117
0,正常,0.9999995
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.99765754
0,正常,1.0
0,正常,0.9982324
0,正常,1.0
0,正常,0.8160554
1,DoS攻击,0.9999999
3,R2L攻击,0.96613085
0,正常,0.9018362
1,DoS攻击,0.99999917
0,正常,0.9732978
0,正常,0.99987483
0,正常,1.0
4,探测攻击,1.0
4,探测攻击,0.9999999
4,探测攻击,0.9998234
1,DoS攻击,0.94691294
0,正常,1.0
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.9999999
4,探测攻击,1.0
0,正常,0.9172503
0,正常,1.0
0,正常,1.0
0,正常,0.77653515
1,DoS攻击,0.9999999
3,R2L攻击,0.99355185
0,正常,0.86102587
1,DoS攻击,0.90641254
0,正常,0.9933509
0,正常,1.0
4,探测攻击,0.9894992
0,正常,0.5806444
1,DoS攻击,0.99775046
0,正常,0.99731344
0,正常,1.0
3,R2L攻击,0.96139127
4,探测攻击,0.8596978
0,正常,0.9901101
1,DoS攻击,0.9999999
4,探测攻击,0.73707956
0,正常,0.5980827
0,正常,0.99069476
1,DoS攻击,0.47911796
0,正常,0.99999
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.99999964
1,DoS攻击,0.9566136
1,DoS攻击,0.99999845
4,探测攻击,0.7934514
4,探测攻击,0.99986017
0,正常,0.9999945
1,DoS攻击,0.99999917
0,正常,0.99481946
0,正常,0.96433306
1,DoS攻击,0.9999999
1,DoS攻击,0.985174
1,DoS攻击,1.0
1,DoS攻击,0.9421276
1,DoS攻击,0.6116558
0,正常,0.99999857
3,R2L攻击,0.9829353
1,DoS攻击,0.9999999
0,正常,0.8663137
0,正常,1.0
0,正常,0.9995746
4,探测攻击,0.9901112
0,正常,0.8756102
1,DoS攻击,0.99528176
1,DoS攻击,0.9785947
4,探测攻击,0.999998
1,DoS攻击,0.7266913
0,正常,0.99999905
1,DoS攻击,0.9999999
1,DoS攻击,1.0
0,正常,0.9995535
0,正常,1.0
0,正常,0.9128218
3,R2L攻击,0.9679015
4,探测攻击,0.9209376
1,DoS攻击,0.9999976
0,正常,1.0
3,R2L攻击,0.9902686
0,正常,0.99962735
4,探测攻击,0.99997294
3,R2L攻击,0.53959817
1,DoS攻击,0.99527293
0,正常,0.8226834
0,正常,0.5836208
1,DoS攻击,0.9999968
0,正常,0.99976164
0,正常,0.99924976
0,正常,0.9999869
0,正常,0.99906987
0,正常,0.9999342
1,DoS攻击,0.99999785
0,正常,1.0
0,正常,0.9901101
0,正常,0.9996363
3,R2L攻击,0.9916214
0,正常,0.9987936
1,DoS攻击,0.9999999
4,探测攻击,0.51942945
0,正常,0.9292969
0,正常,0.99929667
1,DoS攻击,1.0
1,DoS攻击,0.9276878
0,正常,0.998376
0,正常,1.0
0,正常,0.98972845
0,正常,0.9999999
1,DoS攻击,0.9999988
0,正常,0.75603575
0,正常,0.831415
0,正常,0.94886094
0,正常,0.99991107
1,DoS攻击,0.9999988
1,DoS攻击,0.7192567
4,探测攻击,1.0
1,DoS攻击,0.9999999
0,正常,0.9955917
0,正常,0.9991466
1,DoS攻击,1.0
0,正常,0.99359554
0,正常,0.9947501
0,正常,0.5220671
0,正常,1.0
0,正常,1.0
0,正常,0.52503
0,正常,0.9993013
1,DoS攻击,0.998248
0,正常,0.9999995
0,正常,0.9999999
0,正常,1.0
1,DoS攻击,0.9981067
0,正常,0.8909574
1,DoS攻击,0.9753127
1,DoS攻击,1.0
3,R2L攻击,0.9301172
0,正常,0.98244035
3,R2L攻击,0.99917173
3,R2L攻击,0.99646914
1,DoS攻击,1.0
0,正常,0.9568061
1,DoS攻击,0.9974705
3,R2L攻击,0.7225512
0,正常,1.0
0,正常,0.5474268
0,正常,0.9732335
0,正常,0.99769825
0,正常,0.8298291
1,DoS攻击,0.99999976
0,正常,0.9998053
4,探测攻击,0.97822297
3,R2L攻击,0.7619131
1,DoS攻击,0.99999976
0,正常,0.9992859
1,DoS攻击,0.999992
1,DoS攻击,0.9999999
0,正常,1.0
1,DoS攻击,0.9975916
0,正常,0.999882
0,正常,0.8606536
1,DoS攻击,0.9992679
1,DoS攻击,1.0
1,DoS攻击,0.99999964
3,R2L攻击,0.9919224
1,DoS攻击,0.9999999
0,正常,0.99968135
4,探测攻击,1.0
1,DoS攻击,0.9725351
0,正常,1.0
1,DoS攻击,0.60826904
0,正常,0.9637898
1,DoS攻击,0.9999999
3,R2L攻击,0.93697095
3,R2L攻击,0.86326647
1,DoS攻击,0.9999995
1,DoS攻击,0.9993492
3,R2L攻击,0.96365696
0,正常,0.99997747
1,DoS攻击,0.9999988
4,探测攻击,0.78717417
1,DoS攻击,0.9959997
1,DoS攻击,0.99999964
3,R2L攻击,0.99911267
0,正常,1.0
1,DoS攻击,0.69540626
0,正常,1.0
1,DoS攻击,0.9999999
3,R2L攻击,0.9483029
1,DoS攻击,0.99999547
0,正常,0.99880195
1,DoS攻击,1.0
0,正常,0.5806444
4,探测攻击,0.9999982
3,R2L攻击,0.94053763
1,DoS攻击,0.9999826
4,探测攻击,1.0
4,探测攻击,0.9805979
1,DoS攻击,0.9999999
4,探测攻击,1.0
0,正常,1.0
0,正常,1.0
1,DoS攻击,1.0
4,探测攻击,0.9996933
0,正常,1.0
0,正常,0.9995658
0,正常,0.9992685
0,正常,0.99999976
4,探测攻击,0.9524558
3,R2L攻击,0.98379195
0,正常,1.0
0,正常,0.8411569
0,正常,0.99999976
0,正常,0.7645972
3,R2L攻击,0.97917867
0,正常,0.9999999
0,正常,0.98244035
0,正常,0.9775957
1,DoS攻击,1.0
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,1.0
3,R2L攻击,0.9580697
0,正常,0.5855768
0,正常,0.99374396
0,正常,0.8063263
0,正常,0.99973327
0,正常,1.0
0,正常,0.9990664
1,DoS攻击,0.9967146
0,正常,1.0
3,R2L攻击,0.871724
0,正常,0.9996755
0,正常,0.9988501
1,DoS攻击,0.9999999
1,DoS攻击,0.99338186
1,DoS攻击,0.9911145
0,正常,0.83627003
1,DoS攻击,0.7410111
1,DoS攻击,0.9999999
0,正常,0.99907196
4,探测攻击,1.0
0,正常,0.9994911
1,DoS攻击,0.99725324
3,R2L攻击,0.83217764
0,正常,1.0
0,正常,1.0
3,R2L攻击,0.95368874
1,DoS攻击,0.9999999
0,正常,0.5962639
1,DoS攻击,0.99999917
0,正常,0.9999845
1,DoS攻击,0.98839605
3,R2L攻击,0.9496224
1,DoS攻击,0.9999999
0,正常,0.68926734
0,正常,0.99864286
0,正常,0.9949668
1,DoS攻击,0.9999999
0,正常,1.0
1,DoS攻击,0.9999994
4,探测攻击,1.0
0,正常,0.9610332
0,正常,1.0
4,探测攻击,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
4,探测攻击,0.9200893
0,正常,0.9909504
1,DoS攻击,0.9999999
4,探测攻击,0.9999863
0,正常,0.9999969
0,正常,0.81892604
0,正常,0.9894695
0,正常,0.88291305
0,正常,1.0
1,DoS攻击,0.99462223
1,DoS攻击,0.9785947
4,探测攻击,0.99999714
1,DoS攻击,0.98283005
0,正常,0.844746
0,正常,0.99939156
0,正常,0.99956435
1,DoS攻击,0.9950472
0,正常,0.81586367
0,正常,1.0
0,正常,0.9734538
4,探测攻击,1.0
0,正常,0.99999475
0,正常,0.49131522
3,R2L攻击,0.73269874
1,DoS攻击,1.0
0,正常,0.5619163
3,R2L攻击,0.8158972
1,DoS攻击,0.5352987
0,正常,1.0
0,正常,0.9990503
0,正常,0.9999987
0,正常,0.9999974
0,正常,0.99924845
3,R2L攻击,0.97416186
0,正常,0.90336543
1,DoS攻击,1.0
1,DoS攻击,0.9256677
4,探测攻击,0.9989649
1,DoS攻击,0.66164917
4,探测攻击,0.99854004
0,正常,0.9901102
0,正常,0.9999964
3,R2L攻击,0.9095494
1,DoS攻击,0.9865653
0,正常,0.9985368
0,正常,0.9945688
3,R2L攻击,0.9325984
0,正常,0.99907875
1,DoS攻击,0.99999845
0,正常,0.9999994
1,DoS攻击,0.9336213
1,DoS攻击,0.9999993
0,正常,0.9999889
0,正常,0.9998659
4,探测攻击,0.9992943
1,DoS攻击,0.9999999
0,正常,0.99861515
0,正常,0.9974722
0,正常,0.6158448
3,R2L攻击,0.5548324
0,正常,1.0
0,正常,0.9998449
1,DoS攻击,0.9999994
1,DoS攻击,0.9999999
0,正常,0.99997175
0,正常,0.9810029
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,0.99908364
0,正常,1.0
0,正常,0.99995637
1,DoS攻击,0.69360495
0,正常,0.99999917
1,DoS攻击,0.5951648
4,探测攻击,1.0
0,正常,0.99983704
3,R2L攻击,0.89734554
0,正常,0.9296109
0,正常,1.0
0,正常,1.0
3,R2L攻击,0.93847954
0,正常,1.0
1,DoS攻击,0.864555
4,探测攻击,1.0
0,正常,0.9996908
1,DoS攻击,0.9999999
0,正常,1.0
1,DoS攻击,0.9999993
0,正常,1.0
1,DoS攻击,0.9458797
0,正常,0.9944865
0,正常,0.96968013
1,DoS攻击,0.99010813
1,DoS攻击,0.9999999
1,DoS攻击,0.9966007
0,正常,0.99999654
1,DoS攻击,0.8837264
0,正常,0.99598134
3,R2L攻击,0.5372605
4,探测攻击,0.99868816
0,正常,1.0
0,正常,1.0
0,正常,1.0
0,正常,0.9397116
1,DoS攻击,0.99999094
1,DoS攻击,0.9999993
0,正常,1.0
0,正常,0.9625339
0,正常,1.0
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,0.9995665
1,DoS攻击,0.9999999
1,DoS攻击,0.99999976
0,正常,0.9992793
0,正常,0.9997483
0,正常,0.80920583
0,正常,0.9991941
0,正常,1.0
1,DoS攻击,0.9992601
0,正常,0.58394724
0,正常,0.9992073
0,正常,0.9999757
3,R2L攻击,0.96528006
1,DoS攻击,0.9999999
0,正常,0.9943916
0,正常,0.99994445
1,DoS攻击,0.9999999
1,DoS攻击,0.9865544
1,DoS攻击,0.85168463
0,正常,0.99993527
0,正常,1.0
3,R2L攻击,0.99922526
0,正常,0.99938905
0,正常,0.9992488
1,DoS攻击,0.7470305
0,正常,0.9999913
3,R2L攻击,0.9970503
1,DoS攻击,0.99999416
1,DoS攻击,1.0
3,R2L攻击,0.5040582
1,DoS攻击,1.0
1,DoS攻击,0.99999964
4,探测攻击,0.9999918
3,R2L攻击,0.9228019
1,DoS攻击,1.0
1,DoS攻击,0.99750596
1,DoS攻击,1.0
0,正常,0.8886965
1,DoS攻击,0.9925459
0,正常,0.8846118
0,正常,0.99949574
4,探测攻击,0.99999917
1,DoS攻击,0.5544175
1,DoS攻击,0.93219453
0,正常,1.0
1,DoS攻击,1.0
0,正常,0.9992685
1,DoS攻击,0.9999999
0,正常,0.9999924
0,正常,0.84022266
1,DoS攻击,0.6955429
1,DoS攻击,0.99999976
1,DoS攻击,0.9999999
0,正常,1.0
4,探测攻击,0.99990296
1,DoS攻击,0.9999999
0,正常,0.89089704
0,正常,1.0
0,正常,0.9292969
1,DoS攻击,0.9999999
1,DoS攻击,1.0
1,DoS攻击,0.99999964
3,R2L攻击,0.9344968
0,正常,0.788531
1,DoS攻击,0.99999976
0,正常,1.0
4,探测攻击,1.0
1,DoS攻击,0.97856265
1,DoS攻击,0.9996069
1,DoS攻击,0.9999994
1,DoS攻击,0.9999995
0,正常,0.9997397
0,正常,0.9995467
4,探测攻击,0.9999318
1,DoS攻击,0.9999999
0,正常,1.0
4,探测攻击,0.9976635
0,正常,0.9644362
0,正常,0.99991107
0,正常,0.96636623
1,DoS攻击,0.99999964
3,R2L攻击,0.95556706
1,DoS攻击,0.9999995
0,正常,1.0
1,DoS攻击,0.99984956
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.9999999
0,正常,0.99995685
0,正常,0.77846146
4,探测攻击,1.0
3,R2L攻击,0.96815556
1,DoS攻击,0.9999999
4,探测攻击,0.5619213
0,正常,0.99941313
1,DoS攻击,1.0
0,正常,0.90437764
0,正常,0.9397114
0,正常,0.5158788
0,正常,0.70576197
3,R2L攻击,0.82673043
3,R2L攻击,0.9822082
0,正常,0.99999845
3,R2L攻击,0.8425263
0,正常,1.0
0,正常,0.99618274
0,正常,0.99999166
0,正常,0.9915364
0,正常,1.0
0,正常,0.89884853
1,DoS攻击,0.9003279
0,正常,1.0
0,正常,0.86203676
4,探测攻击,0.99993956
1,DoS攻击,0.8816407
0,正常,0.998064
1,DoS攻击,0.99999976
1,DoS攻击,0.9999999
0,正常,0.85201764
0,正常,1.0
0,正常,0.9033658
1,DoS攻击,0.99999964
1,DoS攻击,0.9013743
1,DoS攻击,0.9999999
1,DoS攻击,0.9993772
0,正常,0.999982
0,正常,0.8137272
0,正常,0.99998915
1,DoS攻击,0.9999999
0,正常,0.99999535
0,正常,0.8520176
1,DoS攻击,0.82014334
1,DoS攻击,0.99796706
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,0.998181
3,R2L攻击,0.99611276
0,正常,0.99999154
1,DoS攻击,0.9999999
1,DoS攻击,0.9985499
2,U2R攻击,0.97386825
4,探测攻击,1.0
0,正常,0.99999917
0,正常,0.9586486
1,DoS攻击,0.99999917
0,正常,0.6358844
1,DoS攻击,0.99917954
1,DoS攻击,0.9999994
1,DoS攻击,0.99999964
0,正常,0.9999974
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.9989502
1,DoS攻击,0.9999999
1,DoS攻击,0.99999976
1,DoS攻击,0.99951255
4,探测攻击,0.9999999
0,正常,1.0
3,R2L攻击,0.8045002
0,正常,0.99842477
1,DoS攻击,0.9999864
0,正常,0.9993957
1,DoS攻击,0.9999999
3,R2L攻击,0.9653318
0,正常,0.90336466
1,DoS攻击,0.99966025
3,R2L攻击,0.9447422
1,DoS攻击,0.95734805
1,DoS攻击,0.92775637
1,DoS攻击,0.9999999
4,探测攻击,0.9999993
1,DoS攻击,0.6197893
4,探测攻击,1.0
0,正常,1.0
0,正常,1.0
0,正常,0.9999906
4,探测攻击,0.9997441
1,DoS攻击,0.40646255
1,DoS攻击,0.99999976
0,正常,0.9990717
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
1,DoS攻击,0.97108805
0,正常,0.99999356
4,探测攻击,0.97163
1,DoS攻击,1.0
1,DoS攻击,0.9999999
1,DoS攻击,1.0
1,DoS攻击,0.9947724
1,DoS攻击,0.5983163
0,正常,0.9992073
0,正常,0.99702054
0,正常,0.99999976
4,探测攻击,0.99996996
1,DoS攻击,0.9952545
0,正常,0.93276817
0,正常,0.9995857
0,正常,1.0
0,正常,0.9988617
3,R2L攻击,0.8207147
1,DoS攻击,0.99998415
1,DoS攻击,0.9999999
0,正常,0.9914842
0,正常,1.0
0,正常,0.9999739
0,正常,1.0
0,正常,0.999992
4,探测攻击,0.9997745
4,探测攻击,1.0
0,正常,0.9548398
0,正常,1.0
0,正常,0.9992219
1,DoS攻击,0.9966642
1,DoS攻击,0.67310387
0,正常,0.99952424
1,DoS攻击,0.5759994
0,正常,1.0
1,DoS攻击,1.0
1,DoS攻击,0.9999999
1,DoS攻击,1.0
3,R2L攻击,0.57741785
4,探测攻击,0.91316307
1,DoS攻击,0.99999976
1,DoS攻击,0.8966175
0,正常,1.0
0,正常,1.0
0,正常,0.99951744
0,正常,0.9999976
0,正常,0.9999968
0,正常,0.99982184
1,DoS攻击,0.9999999
3,R2L攻击,0.99712485
4,探测攻击,0.6348424
0,正常,0.5845716
4,探测攻击,0.99987066
0,正常,0.8968735
0,正常,0.99967265
0,正常,0.39538607
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
1,DoS攻击,0.8529154
1,DoS攻击,0.99999714
1,DoS攻击,0.54340845
0,正常,0.9985922
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,0.51120996
3,R2L攻击,0.9841382
0,正常,0.99096525
0,正常,0.9733686
1,DoS攻击,0.95579594
1,DoS攻击,0.9306778
0,正常,0.9999989
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.9858153
0,正常,0.99999607
0,正常,0.9999583
1,DoS攻击,0.99999845
0,正常,0.9172507
0,正常,1.0
3,R2L攻击,0.89726543
0,正常,0.96687907
0,正常,0.9999529
0,正常,1.0
0,正常,0.99949574
0,正常,1.0
0,正常,0.90899444
0,正常,0.97883713
1,DoS攻击,1.0
4,探测攻击,0.99996686
3,R2L攻击,0.9168229
1,DoS攻击,0.9999981
1,DoS攻击,0.9999999
0,正常,0.9999896
0,正常,0.99999857
0,正常,0.99897575
0,正常,1.0
1,DoS攻击,0.374173
1,DoS攻击,0.64247185
1,DoS攻击,0.9820753
3,R2L攻击,0.9975357
0,正常,0.80920583
0,正常,0.99830186
1,DoS攻击,0.9999999
